cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.421875,0.5,0.5,0.2967032967032967,GTZAN,meansvm,6.2105263157894735,7.27895384398316e-05,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,6.2105263157894735,0.00016102620275609426,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,6.2105263157894735,0.0003562247890262444,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,6.2105263157894735,0.0007880462815669921,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,6.2105263157894735,0.0017433288221999908,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,6.2105263157894735,0.0038566204211634724,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.734375,0.703125,0.765625,0.7375438596491228,GTZAN,meansvm,6.2105263157894735,0.008531678524172814,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.75,0.8768328445747801,0.6275659824046921,0.7125039974416374,GTZAN,meansvm,6.2105263157894735,0.018873918221350997,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.8046875,0.796875,0.8125,0.8062865497076024,GTZAN,meansvm,6.2105263157894735,0.04175318936560409,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.859375,0.796875,0.921875,0.8679653679653679,GTZAN,meansvm,6.2105263157894735,0.09236708571873885,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.8515625,0.8798029556650246,0.8280788177339902,0.8461736004108885,GTZAN,meansvm,6.2105263157894735,0.2043359717856948,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.8984375,0.9117647058823529,0.8950980392156862,0.8977667493796526,GTZAN,meansvm,6.2105263157894735,0.45203536563602403,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9375,0.9705882352941176,0.9,0.9285714285714286,GTZAN,meansvm,6.2105263157894735,1.0,,RhythmData,0.85,0.7,1.0,0.8695652173913044
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,11.421052631578947,1e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.5625,0.84375,0.28125,0.33468559837728196,GTZAN,meansvm,11.421052631578947,2.2122162910704502e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.625,0.890625,0.359375,0.3709677419354839,GTZAN,meansvm,11.421052631578947,4.893900918477499e-10,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.6171875,0.953125,0.28125,0.4240576496674058,GTZAN,meansvm,11.421052631578947,1.0826367338740564e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,11.421052631578947,2.395026619987491e-09,,RhythmData,0.875,1.0,0.75,0.8571428571428571
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,11.421052631578947,5.298316906283702e-09,,RhythmData,0.5,0.0,1.0,0.6666666666666666
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,11.421052631578947,1.1721022975334793e-08,,RhythmData,0.725,0.45,1.0,0.7843137254901961
0.453125,0.5,0.5,0.3118279569892473,GTZAN,meansvm,11.421052631578947,2.592943797404667e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.4375,0.5,0.5,0.30434782608695654,GTZAN,meansvm,11.421052631578947,5.736152510448681e-08,,RhythmData,0.95,0.9,1.0,0.9523809523809523
0.46875,0.5,0.5,0.3191489361702128,GTZAN,meansvm,11.421052631578947,1.2689610031679235e-07,,RhythmData,0.85,0.7,1.0,0.8695652173913044
0.484375,0.5,0.5,0.3263157894736842,GTZAN,meansvm,11.421052631578947,2.807216203941181e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
0.359375,0.5,0.5,0.26436781609195403,GTZAN,meansvm,11.421052631578947,6.210169418915616e-07,,RhythmData,0.825,0.65,1.0,0.851063829787234
