cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1,is_normalized
1.0,0.5054545454545455,0.5307739938080495,0.6184615384615385,GTZAN,0.825,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.0007880462815669921}",0.35,0.5185185185185185,0.675,1
1.0,0.4404678362573099,0.5876223776223777,0.7052307692307693,GTZAN,1.0,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.0017433288221999908}",0.6,0.7499999999999999,0.8,1
1.0,0.5135281385281385,0.6706126482213438,0.7489230769230769,GTZAN,1.0,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.0038566204211634724}",0.8,0.888888888888889,0.9,1
1.0,0.5848917748917749,0.7274641148325359,0.7806153846153847,GTZAN,0.9866666666666667,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.008531678524172814}",0.85,0.9189189189189189,0.925,1
1.0,0.7702897102897103,0.846836511568777,0.8667692307692307,GTZAN,0.9690476190476189,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.018873918221350997}",1.0,1.0,1.0,1
1.0,0.8993233082706766,0.8775450510039098,0.8913846153846154,GTZAN,0.9187969924812031,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.04175318936560409}",1.0,1.0,1.0,1
0.95,0.9541991341991342,0.9541991341991342,0.9532307692307693,GTZAN,0.95,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.09236708571873885}",1.0,0.975609756097561,0.975,1
0.95,0.9833333333333332,0.97437313089487,0.976923076923077,GTZAN,0.9721153846153847,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.2043359717856948}",1.0,0.975609756097561,0.975,1
0.95,0.9777777777777779,0.9463920671243325,0.9538461538461538,GTZAN,0.9298039215686276,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 0.45203536563602403}",1.0,0.975609756097561,0.975,1
0.9,0.9846153846153847,0.9611908559276982,0.9606153846153846,GTZAN,0.9349019607843138,mv_svm,,,,RhythmData,"{""C"": 1.0, ""gamma"": 1.0}",1.0,0.9523809523809523,0.95,1
1.0,0.4,0.23258687258687258,0.4304615384615385,GTZAN,0.6,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 1e-10}",0.35,0.5185185185185185,0.675,1
1.0,0.3230769230769231,0.2552380952380952,0.4993846153846154,GTZAN,0.8,mv_svm,,,,RhythmData,"{""C"": 6.2105263157894735, ""gamma"": 2.2122162910704502e-10}",0.35,0.5185185185185185,0.675,1
